id,x_gis,y_gis,x_nlogo,y_nlogo
1,163616.69738698954,5398332.226143755,-30.219178690539238,35.77201939026111
2,163617.85938587552,5398331.483354286,-29.948300989740332,35.61915625045518
3,163628.6419683517,5398324.590748466,-27.434734767710196,34.20068518758893
4,163629.7843340241,5398323.821512898,-27.168433835287388,34.04237954514036
5,163646.64233001304,5398308.81299989,-23.238606321096242,30.95368682822911
6,163647.62036338574,5398307.841015506,-23.010613476612406,30.753656279702483
7,163653.35489530792,5398307.384246966,-21.67381630667829,30.65965511774752
8,163652.51364435727,5398308.473176134,-21.869923313368318,30.883752440941862
9,163650.12663007487,5398311.562965818,-22.42636871826103,31.519618958051296
10,163649.37655535238,5398312.719079871,-22.601221309520966,31.757542665309956
11,163639.50675065315,5398333.2554631205,-24.90200665151424,35.98384925147897
12,163639.11232306977,5398334.574038951,-24.99395307091855,36.25520695101878
13,163637.2135691428,5398340.921591536,-25.436578364564895,37.56150821017849
14,163636.83797020224,5398342.246282337,-25.52413557195115,37.834124346583394
15,163595.64687128048,5398404.171234039,-35.126339415671865,50.57803489989456
16,163594.53327850255,5398404.977023241,-35.38593299614038,50.74386313615028
17,163580.76345536133,5398414.940769311,-38.595865533874886,52.79436273610682
18,163579.6279018938,5398415.718675465,-38.86057844894718,52.954452751143805
19,163577.69103741544,5398417.045515895,-39.312087829026574,53.22751127260128
20,163576.55676012608,5398417.825042959,-39.576503249658536,53.38793486454304
21,163569.46452704575,5398422.69914414,-41.22979897439416,54.39100564242
22,163569.70455655074,5398421.341541733,-41.173844841201856,54.11161642742232
23,163571.3903542364,5398411.806694984,-40.78086253578137,52.14938261439025
24,163571.90224312776,5398410.526248564,-40.66153429233393,51.88587179683057
25,163572.81524371868,5398408.242454885,-40.44870147133665,51.415876075020236
26,163573.15347700857,5398406.905620546,-40.369854703921334,51.14076084656594
27,163574.94144599288,5398399.838842502,-39.95305488301321,49.68644582780229
28,163574.9450652466,5398398.457759496,-39.9522111858816,49.402224398280225
29,163569.46452704575,5398422.69914414,-41.22979897439416,54.39100564242
30,163568.64364418958,5398423.805510534,-41.42115790200604,54.61869147790395
31,163510.54312056873,5398502.111477523,-54.96517798979174,70.73375029800047
32,163509.75563621407,5398503.246415462,-55.148751273707916,70.9673160446626
33,163466.4606022144,5398565.65412555,-65.24141092027945,83.81057636768341
34,163465.64823380997,5398566.767800516,-65.43078501370802,84.03976627853675
35,163454.79431957926,5398581.647399449,-67.96097963520944,87.10192898763631
36,163454.0221526623,5398582.791175298,-68.14098221664247,87.33731354135642
37,163425.76219638024,5398622.7599191405,-74.72876132276691,95.56272320994637
38,163425.1941167961,5398624.018076109,-74.86118837883208,95.82164694626357
39,163414.15157349044,5398233.995804671,-77.43535499612796,15.556603463229735
40,163414.38351249052,5398235.357969853,-77.38128686936388,15.836931679239271
41,163419.16095057616,5398245.855902876,-76.26760125402662,17.997364844867093
42,163419.9459238674,5398246.987659737,-76.0846133330509,18.23027593814011
43,163421.89941004972,5398249.804151374,-75.62922920833614,18.80989879636965
44,163422.6775445314,5398250.941332812,-75.44783550662375,19.043926246323522
45,163464.15628875492,5398301.761415017,-65.77857764166018,29.502498504040773
46,163465.29410391976,5398302.539694151,-65.51333749426787,29.662665276845814
47,163474.35315411165,5398308.736185212,-63.40155002440021,30.9378786706923
48,163475.49082836846,5398309.514720019,-63.13634272458057,31.09809806003085
49,163510.60991226314,5398333.547359676,-54.949607939913065,36.04392041008035
50,163511.74787611899,5398334.325382784,-54.68433313063097,36.204034493711845
51,163531.1928861109,5398347.619857232,-50.1514375640397,38.939984842716
52,163532.429671115,5398348.220296171,-49.86312620475872,39.06355280545836
53,163566.94870655387,5398368.436746022,-41.81627085374776,43.22401836142723
